,name,id,description,picture,servings,calories,reviews,rating,carbohydrates,dietary fiber,sugars,calcium,magnesium,potassium,sodium,ingredients,fat,saturated fat,cholesterol,iron
47,Fruit Dip with Cream Cheese,19055,A sweet companion to your favorite fresh fruit. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F8035383.jpg,16,110.2,58,4.8,15.7,0.0,11.3,0.0116,0.0011,0.0174,0.0513,1 (8 ounce) package cream cheese #1 (7 ounce) jar marshmallow creme #¾ cup confectioners' sugar #⅛ teaspoon lemon juice ,4.9,3.1,0.0154,0.0002
48,Fruit Pizza with White Chocolate,19057,"This recipe is very EASY and DELICIOUS and loved by all in my town! It is a sugar cookie crust with a milky layer of white chocolate and cream cheese, topped with your favorite fruit choices and a glaze! Substitute any fruit you like for the strawberries, and any fruit juice or juice from any canned fruits you use for the pineapple juice. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4539452.jpg,15,579.6,45,4.2,70.3,1.1,29.6,0.0297,0.0123,0.18109999999999998,0.2906,"½ cup butter #½ cup shortening #1 ½ cups white sugar #2 eggs #2 ¾ cups all-purpose flour #2 teaspoons cream of tartar #1 teaspoon baking soda #¼ teaspoon salt #2 cups vanilla baking chips #¼ cup heavy cream #1 (8 ounce) package cream cheese #1 pint fresh strawberries, sliced #½ cup white sugar #2 tablespoons cornstarch #1 cup pineapple juice #1 teaspoon lemon juice ",29.7,16.8,0.0629,0.0015
49,Sugarfree Pumpkin Pie,19058,A sugar-free alternative to traditional pumpkin pie. Aspartame sweetener is not heat stable so be sure to add the sweetener after the pie filling has cooled to 145 degrees F (62 degrees C). ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1558379.jpg,8,200.4,6,3.7,21.0,2.0,7.3,0.1522,0.0291,0.2916,0.3727,"1 (9 inch) pie crust, baked #1 (.25 ounce) envelope unflavored gelatin #2 tablespoons cornstarch #1 ¼ teaspoons ground cinnamon #½ teaspoon ground nutmeg #¼ teaspoon ground cloves #½ teaspoon ground ginger #¼ teaspoon salt #1 (15 ounce) can pumpkin puree #1 (12 fluid ounce) can evaporated milk #2 eggs, beaten #16 packets aspartame artificial sweetener ",10.2,4.4,0.060200000000000004,0.0015
50,Strawberry Pie IV,19059,"A wonderfully cool strawberry pie for hot days. Recipe can also be used to make a lemon pie. Just omit the strawberries and red food coloring, then increase lemon juice to 1/2 cup. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5047596.jpg,8,391.2,7,3.4,54.1,1.3,45.4,0.1535,0.023899999999999998,0.2829,0.2196,"1 (8 ounce) container frozen whipped topping, thawed #1 (14 ounce) can sweetened condensed milk #2 cups diced fresh strawberries #¼ cup lemon juice #2 drops red food coloring #1 (9 inch) prepared graham cracker crust ",18.0,10.2,0.0167,0.0009
51,Springtime Quiche,19060,I found this recipe at a time when too much asparagus was causing a problem. I found it to be a savior! Recipe is not exclusive to asparagus; any favorite vegetable may be used. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F379504.jpg,6,452,20,4.3,22.3,2.1,6.7,0.3163,0.0444,0.6907000000000001,1.3676,"8 slices bacon - cooked and crumbled #1 cup shredded Swiss cheese #½ cup chopped onions #1 pound fresh asparagus, trimmed and cut into 1 inch pieces #2 cups milk #1 cup biscuit baking mix #1 cup egg substitute #¼ teaspoon salt #¼ teaspoon ground black pepper #½ teaspoon dried parsley ",27.0,10.5,0.06509999999999999,0.0039
52,Spiced Pecan Crust,19061,"This is especially good with a chocolate-pecan pie recipe. Rich! For more special occasions, pecans halves can be pressed into the rim of the crust before baking. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3325520.jpg,8,230.6,13,4.5,19.9,1.2,7.1,0.0184,0.0128,0.0603,0.13369999999999999,"1 cup all-purpose flour #½ cup finely chopped pecans #¼ cup brown sugar #½ teaspoon ground cinnamon #½ cup margarine, melted ",16.3,2.4,0.0,0.001
53,Soda Cracker Pie,19062,"This pie is delicious, with or without a filling. I make it with pecans and serve it with whipped topping and one shake of nutmeg on top. Or I make it without pecans and fill with fruit filling such as lemon filling. I use soda crackers, saltines, graham crackers or buttery round crackers, finely crushed ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F679508.jpg,8,232.5,29,4.8,32.5,1.5,25.7,0.0282,0.0197,0.0875,0.1235,"3 egg whites #1 cup white sugar #½ teaspoon baking powder #20 soda crackers, finely crushed #2 teaspoons vanilla extract #1 cup chopped pecans ",10.7,1.0,0.0,0.0008
54,Sinfully Rich P 'n' B Pie,19063,"This pie is soooo rich, but you'll beg for more!!! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F803330.jpg,8,847.6,5,4.3,75.2,3.9,53.5,0.0865,0.1032,0.4781,0.6761,"1 (8 ounce) package fat free cream cheese #1 (16 ounce) jar creamy peanut butter #¾ cup honey #1 teaspoon vanilla extract #1 (8 ounce) container frozen whipped topping, thawed #1 cup peanut butter chips #1 (9 inch) prepared chocolate cookie crumb crust ",50.8,21.3,0.0025,0.0021000000000000003
55,Reheating Pasta,19064,How to cook pasta ahead of time. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F227824.jpg,4,301.7,13,4.1,39.2,1.6,2.5,0.0158,0.0,0.0001,0.0148,8 ounces dry pasta #3 tablespoons olive oil ,12.6,2.2,0.06720000000000001,0.0021000000000000003
56,Banana Split Cake VI,19070,"A creamy frozen treat with a cornflake crust that is reminiscent of the popular dessert. Please note: this pie contains raw eggs. We recommend that pregnant women, elderly, young children and people with medical or immune problems do not consume dishes containing raw eggs. ",0,24,263.4,1,4.0,29.2,1.1,23.7,0.0141,0.0144,0.166,0.1596,"2 cups cornflakes cereal crumbs #½ cup margarine, softened #2 eggs #1 tablespoon vanilla extract #1 cup margarine #2 cups confectioners' sugar #6 banana #2 (15 ounce) cans crushed pineapple, drained #1 (16 ounce) container frozen whipped topping, thawed # chopped walnuts ",16.5,6.2,0.0155,0.001
57,No Bake Sugar Free Cheese Cake,19073,This recipe has no added sugar so it is great for Diabetics. It is a favorite in our house. I first tried this recipe as a regular dessert and later tried it without sugar and found it to be just as good. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1081308.jpg,9,205.8,111,4.2,17.0,0.5,6.9,0.1215,0.0054,0.0273,0.3301,"1 ¾ cups graham cracker crumbs #½ cup butter #½ teaspoon ground cinnamon #1 (.6 ounce) package sugar free lemon flavored Jell-O® #1 cup boiling water #1 (8 ounce) package reduced fat cream cheese #2 teaspoons vanilla extract #1 cup frozen light whipped topping, thawed ",11.9,6.7,0.030899999999999997,0.0006
58,Old Fashioned Fudge Cake,19074,"A dense, moist chocolate cake made from scratch. Can be doubled without any problems. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F928275.jpg,12,421.7,25,4.1,52.6,2.1,33.6,0.033299999999999996,0.0376,0.13,0.0732,"1 cup water #1 cup unsalted butter #4 (1 ounce) squares unsweetened chocolate, chopped #2 cups all-purpose flour #2 cups white sugar #½ teaspoon baking soda #½ cup sour cream #2 eggs #1 teaspoon vanilla extract ",23.3,14.3,0.08020000000000001,0.0027
59,Pistachio Cake IV,19075,This easy pistachio Bundt cake is baked with a layer of chocolate batter over a pistachio batter. Swirl it in for a marbled effect. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6862829.jpg,14,356.2,36,4.6,45.7,0.8,29.0,0.0597,0.0159,0.0854,0.37210000000000004,1 (18.25 ounce) package yellow cake mix #1 (3.4 ounce) package instant pistachio pudding mix #1 cup water #¾ cup vegetable oil #4 eggs #¾ cup chocolate syrup ,17.8,2.7,0.053899999999999997,0.0012
60,Plum Good Cake,19076,"It's a lovely cake made with plum baby food - moist, rich, and a snap to make. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9404570.jpg,14,430.8,8,4.0,55.2,1.4,39.4,0.0246,0.0242,0.09759999999999999,0.15769999999999998,2 cups all-purpose flour #2 cups white sugar #½ teaspoon salt #½ teaspoon baking powder #½ teaspoon baking soda #1 teaspoon ground cinnamon #½ teaspoon ground cloves #1 cup vegetable oil #3 eggs #2 (4 ounce) jars plum baby food #1 tablespoon red food coloring #1 cup chopped black walnuts #1 cup confectioners' sugar #1 tablespoon lemon juice ,22.2,2.7,0.0399,0.0014
61,Precious Pineapple Cake,19077,"This wonderful cake starts with a cake mix to which you add pineapple and pecans. It is very moist, even better the second day. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2232633.jpg,12,649.1,85,4.5,82.8,1.7,0.0,0.0986,0.025,0.1771,0.5318999999999999,"½ cup margarine, softened #3 large eggs #1 (18.25 ounce) package yellow cake mix #1 (20 ounce) can crushed pineapple with juice #½ cup chopped pecans #½ cup margarine, softened #1 (8 ounce) package cream cheese, softened #4 cups confectioners' sugar #½ cup chopped pecans ",34.3,8.4,0.0679,0.0015
62,Poppy Seed Bundt Cake II,19078,An easy poppy seed Bundt cake that is quick AND delicious. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4513226.jpg,14,394.5,46,4.9,37.4,0.6,23.6,0.1113,0.0152,0.09,0.2718,1 (18.25 ounce) package yellow cake mix #1 cup vegetable oil #1 cup sour cream #¼ cup poppy seeds #½ cup white sugar #4 eggs ,25.9,5.4,0.0611,0.0011
63,Pumpkin Cake III,19079,"Delicious pumpkin spice cake baked in a sheet pan. Very moist and great for potlucks. When cool, top with your favorite cream cheese frosting. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9079984.jpg,14,438.4,811,4.7,46.8,2.2,30.1,0.1038,0.0275,0.1497,0.4041,2 cups white sugar #1 ¼ cups vegetable oil #1 teaspoon vanilla extract #2 cups canned pumpkin #4 eggs #2 cups all-purpose flour #3 teaspoons baking powder #2 teaspoons baking soda #¼ teaspoon salt #2 teaspoons ground cinnamon #1 cup chopped walnuts (Optional),26.8,3.6,0.0531,0.002
64,Soda Pop Cake,19080,A white cake with strawberry gelatin and whipped topping makes a great summer cake that is nice and cool. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F21735.jpg,24,185.3,29,4.4,33.5,0.2,27.4,0.06,0.0043,0.0502,0.2651,"1 (18.25 ounce) package white cake mix #1 ½ cups boiling water #1 (6 ounce) package strawberry flavored Jell-O® #16 fluid ounces strawberry flavored carbonated beverage #1 (5 ounce) package instant vanilla pudding mix #1 ½ cups milk #1 (8 ounce) container frozen whipped topping, thawed ",5.0,2.6,0.0012,0.0003
65,Sayuri's Three-Sugar Pound Cake,19081,"My personal pound cake recipe that I developed over the years. This pound cake is very good and, as the name suggests, uses three different kinds of sugar. ",0,24,123,2,3.5,15.1,0.2,8.0,0.027899999999999998,0.0035,0.0304,0.09079999999999999,"1 ¾ cups all-purpose flour #1 teaspoon baking powder #½ teaspoon baking soda #⅔ cup milk #3 teaspoons vanilla extract #¾ cup butter, softened #½ cup white sugar #¼ cup confectioners' sugar #¼ cup brown sugar #2 egg whites #1 egg yolk ",6.2,3.9,0.0245,0.0005
66,Quick Cake,19082,"A quick chocolate cake also known as Wacky Cake. It has no eggs or milk, and is mixed in the same pan it's baked in. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F112301.jpg,9,231.9,74,4.2,39.0,3.5,22.3,0.041,0.012199999999999999,0.1243,0.24530000000000002,1 ½ cups sifted pastry flour #1 cup white sugar #¼ cup unsweetened cocoa powder #1 teaspoon baking powder #1 teaspoon baking soda #¼ teaspoon salt #1 cup water #⅓ cup vegetable oil #¼ cup white vinegar #1 teaspoon vanilla extract ,8.8,1.2,0.0,0.0014
67,Caramel Nougat Cake V,19083,"Made with eleven regular milk chocolate covered caramel and nougat bars, buttermilk and baking soda. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5299445.jpg,12,820.7,6,4.9,114.6,1.6,87.9,0.1145,0.0298,0.18569999999999998,0.45430000000000004,11 (2.15 ounce) milk chocolate covered caramel and nougat bars #1 ½ cups margarine #2 cups white sugar #4 eggs #2 teaspoons vanilla extract #2 ½ cups all-purpose flour #½ teaspoon baking soda #1 cup buttermilk #½ cup chopped walnuts #2 cups confectioners' sugar ,37.4,11.6,0.0678,0.0019
68,Potato Chocolate Cake,19084,A versatile cake made with mashed potatoes and chocolate. Add 1 teaspoon each cinnamon and allspice for a chocolate spice cake! ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F960297.jpg,24,204.9,4,4.2,26.8,0.7,17.4,0.023100000000000002,0.013,0.0723,0.2718,"1 cup margarine #2 cups white sugar #4 eggs #2 (1 ounce) squares unsweetened chocolate, melted #1 teaspoon vanilla extract #1 cup prepared instant mashed potatoes #2 cups sifted all-purpose flour #1 teaspoon baking soda #1 teaspoon salt #¾ cup buttermilk ",10.1,2.7,0.0325,0.0011
69,Raisin Pound Cake,19085,"A good pound cake with raisins. To keep the raisins from sinking to the bottom, dredge them in flour before you stir them in. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5083843.jpg,24,214.4,8,4.3,32.4,0.7,19.0,0.045700000000000005,0.0073,0.0873,0.12090000000000001,1 cup butter #1 ¾ cups white sugar #3 eggs #1 teaspoon vanilla extract #1 teaspoon lemon extract #½ cup milk #½ cup hot water #3 cups all-purpose flour #2 teaspoons baking powder #¼ teaspoon salt #1 cup raisins ,8.6,5.1,0.044,0.001
70,Strawberry Cake IV,19086,"An easy and refreshing cake made with cake mix, strawberry gelatin and frozen strawberries. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F246549.jpg,24,275.6,32,4.4,42.8,0.4,37.3,0.0504,0.0045,0.0528,0.1896,"1 (18.25 ounce) package white cake mix #1 (3 ounce) package strawberry flavored Jell-O® #⅔ cup water #⅔ cup vegetable oil #4 eggs #½ (10 ounce) package frozen strawberries #4 tablespoons margarine, melted #4 cups confectioners' sugar #½ (10 ounce) package frozen strawberries #4 tablespoons milk ",11.1,1.7,0.0312,0.0005
71,Cappuccino Cake with Mocha Frosting,19087,A very simple cake using a white cake mix and cappuccino coffee powder. The vegetable oil has been reduced to account for the fat in the added cappuccino mix. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F43989.jpg,12,537.3,13,4.2,81.4,2.2,67.7,0.09,0.0332,0.15630000000000002,0.2994,1 (18.25 ounce) package white cake mix #¼ cup instant cappuccino coffee powder #1 tablespoon vegetable oil #3 egg whites #1 ¼ cups water #1 cup shortening #1 ½ teaspoons vanilla extract #4 ½ cups confectioners' sugar #4 tablespoons milk #¾ cup unsweetened cocoa powder #1 tablespoon instant coffee powder #1 cup hot water ,23.7,5.6,0.0,0.0014
72,Orange Raisin Cake,19088,I have made this orange raisin cake a lot with pulpy oranges. So good when served warm. Use a blender or a food processor to grind the orange. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F7999081.jpg,24,168.2,12,4.2,24.9,0.8,12.4,0.0238,0.010199999999999999,0.08,0.1601,1 large orange #1 cup raisins #⅓ cup chopped walnuts #2 cups all-purpose flour #1 cup white sugar #1 teaspoon baking soda #1 teaspoon salt #1 cup milk #½ cup shortening #2 eggs #⅓ cup white sugar #1 teaspoon ground cinnamon #¼ cup chopped walnuts ,7.0,1.6,0.0165,0.0007
73,Williamsburg Pork Cake,19089,This is an old recipe for spice cake made with salt pork and raisins. It's baked in a tube pan and contains no eggs or dairy. ,0,14,457.7,1,1.0,75.4,3.0,39.3,0.1027,0.0782,0.6687000000000001,0.2721,½ cup brandy #2 ½ cups raisins #1 ½ cups dried currants #½ pound finely ground salt pork #1 cup boiling water #1 cup molasses #½ cup brown sugar #3 ½ cups all-purpose flour #1 teaspoon baking powder #1 tablespoon ground allspice #1 tablespoon ground cinnamon #½ teaspoon ground nutmeg #½ teaspoon ground cloves ,13.6,4.9,0.013900000000000001,0.0035
74,Orange Fluff Cake,19090,Wonderful cake with a true orangey flavor. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F993606.jpg,12,248.5,14,4.2,41.8,0.4,27.5,0.07429999999999999,0.0066,0.0973,0.2238,"1 ½ cups sifted cake flour #½ cup white sugar #2 teaspoons baking powder #½ teaspoon salt #5 tablespoons butter, melted #⅓ cup fresh orange juice #1 teaspoon grated orange zest #6 egg yolks #1 teaspoon vanilla extract #6 egg whites #½ teaspoon cream of tartar #½ cup white sugar #1 cup confectioners' sugar #2 tablespoons fresh orange juice #2 teaspoons grated orange zest ",7.2,3.9,0.1145,0.0016
75,Quick Coffee Cake,19093,"This coffee cake is wonderful, the cake itself it moist and delicious while the topping is slightly crunchy and sweeter. Together, they make a delightful combination that you will surely enjoy! ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F37716.jpg,9,268.1,235,4.3,38.5,0.7,20.9,0.0905,0.0086,0.0691,0.225,"1 ½ cups all-purpose flour #1 ½ teaspoons baking powder #6 tablespoons white sugar #½ teaspoon salt #⅓ cup shortening #½ cup milk #1 egg #½ teaspoon vanilla extract #2 tablespoons butter, melted #½ cup brown sugar #2 tablespoons all-purpose flour #½ teaspoon ground cinnamon ",11.4,4.0,0.0288,0.0013
76,Raspberry Walnut Torte,19094,"A very dense, decadent cake that always gets raves from friends and family. You can substitute other nuts for the walnuts and different preserves if desired. ",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9425503.jpg,16,441.7,26,4.9,58.9,0.6,44.3,0.0878,0.015,0.09440000000000001,0.204,"1 ¾ cups cake flour #2 teaspoons baking powder #½ teaspoon salt #1 cup ground walnuts #1 ½ cups heavy cream #1 ½ cups white sugar #3 eggs #3 teaspoons vanilla extract #1 (8 ounce) package cream cheese, softened #1 cup white sugar #⅛ teaspoon salt #1 teaspoon vanilla extract #1 ½ cups heavy cream #1 (12 ounce) jar raspberry preserves ",21.6,11.4,0.09620000000000001,0.0017
77,Snickerdoodle Cake II,19095,A quick and easy crumb cake with a cinnamon sugar topping. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F457375.jpg,9,233.7,26,3.9,36.6,0.7,17.7,0.1263,0.0089,0.0653,0.1266,¼ cup white sugar #½ teaspoon ground cinnamon #1 tablespoon butter #1 ¾ cups all-purpose flour #2 ½ teaspoons baking powder #½ cup white sugar #¼ cup shortening #1 egg #¾ cup milk ,8.2,2.7,0.0257,0.0014
78,Snowball Cake II,19096,These little snowballs remind me of wintertime. ,0,24,307.7,2,4.0,46.5,1.7,30.8,0.0482,0.0109,0.1066,0.12079999999999999,1 cup butter #2 cups white sugar #3 ½ cups all-purpose flour #2 teaspoons baking powder #⅛ teaspoon salt #1 cup milk #½ teaspoon vanilla extract #½ teaspoon lemon extract #5 egg whites #1 ½ cups white sugar #2 egg whites #1 tablespoon light corn syrup #¼ teaspoon cream of tartar #¼ cup water #1 teaspoon vanilla extract #4 cups flaked coconut ,12.5,9.0,0.0211,0.0012
79,Strawberry Cake III,19099,This is a great easy cake that my grand mother made for every family memeber's birthday. It's a pretty pink color and is light and fluffy. Garnish with additional sliced fresh strawberries if desired. ,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F27506.jpg,12,251.7,30,4.6,51.0,0.7,40.6,0.0843,0.0068,0.07590000000000001,0.2875,1 (18.25 ounce) package white cake mix #1 egg white #1 cup white sugar #1 cup sliced fresh strawberries ,4.7,0.7,0.0,0.0007
